,address,price,year
496,경기도 평택시 지산동,133000,2013
497,경기도 평택시 지산동,110000,2013
498,경기도 평택시 지산동,107000,2013
499,경기도 평택시 지산동,400000,2013
500,경기도 평택시 지산동,510000,2013
501,경기도 평택시 지산동,140000,2013
502,경기도 평택시 지산동,325000,2013
503,경기도 평택시 지산동,610000,2013
504,경기도 평택시 지산동,137000,2013
505,경기도 평택시 지산동,440000,2013
506,경기도 평택시 지산동,285000,2013
507,경기도 평택시 지산동,136000,2013
508,경기도 평택시 지산동,185000,2013
509,경기도 평택시 지산동,196000,2013
510,경기도 평택시 지산동,575000,2013
511,경기도 평택시 지산동,670000,2013
512,경기도 평택시 지산동,1030000,2013
513,경기도 평택시 지산동,750000,2013
514,경기도 평택시 지산동,620000,2013
515,경기도 평택시 지산동,840000,2013
516,경기도 평택시 지산동,1840000,2013
517,경기도 평택시 지산동,2280000,2013
518,경기도 평택시 지산동,615000,2013
519,경기도 평택시 지산동,1020000,2013
520,경기도 평택시 지산동,1110000,2013
521,경기도 평택시 지산동,1950000,2013
522,경기도 평택시 지산동,2330000,2013
523,경기도 평택시 지산동,3050000,2013
524,경기도 평택시 지산동,2340000,2013
525,경기도 평택시 지산동,1710000,2013
526,경기도 평택시 지산동,665000,2013
527,경기도 평택시 지산동,970000,2013
528,경기도 평택시 지산동,660000,2013
529,경기도 평택시 지산동,655000,2013
530,경기도 평택시 지산동,1400000,2013
531,경기도 평택시 지산동,1280000,2013
532,경기도 평택시 지산동,590000,2013
533,경기도 평택시 지산동,1880000,2013
534,경기도 평택시 지산동,1090000,2013
535,경기도 평택시 지산동,550000,2013
536,경기도 평택시 지산동,590000,2013
537,경기도 평택시 지산동,2380000,2013
538,경기도 평택시 지산동,2720000,2013
539,경기도 평택시 지산동,715000,2013
540,경기도 평택시 지산동,1760000,2013
541,경기도 평택시 지산동,1660000,2013
542,경기도 평택시 지산동,700000,2013
543,경기도 평택시 지산동,1690000,2013
544,경기도 평택시 지산동,580000,2013
545,경기도 평택시 지산동,1830000,2013
546,경기도 평택시 지산동,645000,2013
547,경기도 평택시 지산동,1460000,2013
548,경기도 평택시 지산동,2140000,2013
549,경기도 평택시 지산동,1970000,2013
550,경기도 평택시 지산동,600000,2013
551,경기도 평택시 지산동,710000,2013
552,경기도 평택시 지산동,650000,2013
553,경기도 평택시 지산동,820000,2013
554,경기도 평택시 지산동,2130000,2013
555,경기도 평택시 지산동,1120000,2013
556,경기도 평택시 지산동,910000,2013
557,경기도 평택시 지산동,750000,2013
558,경기도 평택시 지산동,640000,2013
559,경기도 평택시 지산동,690000,2013
560,경기도 평택시 지산동,720000,2013
561,경기도 평택시 지산동,950000,2013
562,경기도 평택시 지산동,820000,2013
563,경기도 평택시 지산동,690000,2013
564,경기도 평택시 지산동,600000,2013
565,경기도 평택시 지산동,700000,2013
566,경기도 평택시 지산동,710000,2013
567,경기도 평택시 지산동,1880000,2013
568,경기도 평택시 지산동,650000,2013
569,경기도 평택시 지산동,835000,2013
570,경기도 평택시 지산동,1250000,2013
571,경기도 평택시 지산동,1140000,2013
572,경기도 평택시 지산동,700000,2013
573,경기도 평택시 지산동,1230000,2013
574,경기도 평택시 지산동,765000,2013
575,경기도 평택시 지산동,1000000,2013
576,경기도 평택시 지산동,765000,2013
577,경기도 평택시 지산동,1810000,2013
578,경기도 평택시 지산동,1900000,2013
579,경기도 평택시 지산동,848000,2013
580,경기도 평택시 지산동,1430000,2013
581,경기도 평택시 지산동,730000,2013
582,경기도 평택시 지산동,860000,2013
583,경기도 평택시 지산동,700000,2013
584,경기도 평택시 지산동,830000,2013
585,경기도 평택시 지산동,115000,2013
586,경기도 평택시 지산동,67000,2013
587,경기도 평택시 지산동,50000,2013
588,경기도 평택시 지산동,31000,2013
589,경기도 평택시 지산동,144000,2013
590,경기도 평택시 지산동,35000,2013
591,경기도 평택시 지산동,50000,2013
592,경기도 평택시 지산동,31000,2013
593,경기도 평택시 지산동,56000,2013
594,경기도 평택시 지산동,81000,2013
595,경기도 평택시 독곡동,118000,2013
596,경기도 평택시 독곡동,118000,2013
597,경기도 평택시 독곡동,119000,2013
598,경기도 평택시 독곡동,300000,2013
599,경기도 평택시 독곡동,192500,2013
600,경기도 평택시 독곡동,415000,2013
601,경기도 평택시 독곡동,310000,2013
602,경기도 평택시 독곡동,275000,2013
603,경기도 평택시 독곡동,335000,2013
604,경기도 평택시 독곡동,110000,2013
605,경기도 평택시 독곡동,455000,2013
606,경기도 평택시 독곡동,460000,2013
607,경기도 평택시 독곡동,370000,2013
608,경기도 평택시 독곡동,470000,2013
609,경기도 평택시 독곡동,645000,2013
610,경기도 평택시 독곡동,430000,2013
