,nounFrame,Freq,label,비고
595,롤러코스터,159,-,
596,외국,159,,
597,인터뷰,159,,
598,일반,159,,
599,파생,159,,
600,판단,159,,
601,사지,158,,
602,유행,158,-,
603,인기,158,pos,
604,부모,157,,
605,어제,157,,
606,오빠,157,,
607,오픈,157,,
608,코드,157,,
609,마이닝,156,,
610,이전,156,,
611,목표,155,,
612,병신,155,,
613,고가,154,pos,
614,교육,154,,
615,마찬가지,154,,
616,변화,154,,
617,보수,154,,
618,선거,154,,
619,신경,154,,
620,움직임,154,,
621,종목,154,,
622,코스닥,154,,
623,몰수,153,-,
624,아무것,153,,
625,지수,153,,
626,지지자,153,,
627,평가,153,,
628,학교,153,,
629,독일,152,,
630,트레이딩,152,,
631,홍콩,152,,
632,등락,151,-,
633,리스크,151,neg,
634,치킨,151,,
635,하세,151,,
636,교환,150,,
637,박근혜,150,,
638,시기,150,,
639,한방,150,-,
640,바보,149,,
641,영화,149,,
642,총액,149,,
643,결론,148,,
644,나스닥,148,,
645,반응,148,,
646,수요,148,-,
647,신뢰,148,pos,
648,이벤트,148,,
649,인가,148,,
650,현황,148,,
651,사장,147,,
652,역할,147,,
653,정체,147,,
654,통제,147,-,
655,시각,146,,
656,주말,146,,
657,최소,146,,
658,한마디,146,,
659,패턴,145,,
660,하락장,145,neg,
661,혼자,145,,
662,진실,144,,
663,통장,144,,
664,투자가,144,-,
665,평생,144,,
666,대형,143,,
667,소유,143,,
668,골드만삭스,142,,
669,직전,142,,
670,해라,142,,
671,민주당,141,,
672,법원,141,,
673,알트,141,,
674,일주일,141,,
675,파동,141,-,
676,강화,140,,
677,유사,140,,
678,기록,139,,
679,스팀,139,,
680,위원회,139,,
681,허용,139,pos,
682,검색어,138,,
683,고점,138,pos,
684,주제,138,,
685,집단,138,,
686,대안,137,pos,
687,아버지,137,,
688,연구,137,,
689,저번,137,,
690,대체,136,,
691,비판,136,neg,
692,사전,136,,
693,삼성,136,,
694,월가,136,,
695,창업자,136,,
696,타이밍,136,,
697,학생,136,,
698,공무원,135,,
699,당하,135,,
700,말해,135,,
701,기억,134,,
702,만원,134,,
703,보상,134,pos,
704,중심,134,,
705,활성,134,pos,활성화
706,시가,133,,
707,지하,133,,
708,카페,133,,
709,도움,132,pos,
710,조치,132,,
711,큰손,132,-,
